FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202409;513881387;UR-ML4-1413;87088055;NL;NL;10;EXW;11;3;;5,2;1;80;;
INTRA-CH;202409;513881387;UR-ML4-300;87088055;NL;NL;10;EXW;11;3;;6,9;1;68;;
INTRA-CH;202409;513881387;UR-LA4-299;87088055;NL;NL;10;EXW;11;3;;3;1;64;;
INTRA-CH;202409;513881387;UR-LA4-3053;87088055;NL;NL;10;EXW;11;3;;3,6;1;68;;
INTRA-CH;202409;513881387;UR-RE2-3015A;87088055;NL;NL;10;EXW;11;3;;2,7;1;75;;
INTRA-CH;202409;513881387;RE2-1891;87088055;NL;NL;10;EXW;11;3;;2,5;3;172;;
INTRA-CH;202409;513881387;UR-LA2-829;87088055;NL;NL;10;EXW;11;3;;1,4;1;40;;
INTRA-CH;202409;513881387;UR-RL2-945;87088055;NL;NL;10;EXW;11;3;;0,9;1;32;;
INTRA-CH;202409;513881387;UR-ML4-3054;87088055;NL;NL;10;EXW;11;3;;1,9;1;64;;
INTRA-CH;202409;513881387;UR-RE2-3111;87088055;NL;NL;10;EXW;11;3;;3,3;1;57;;
INTRA-CH;202409;513881387;UR-RL2-3056;87088055;NL;NL;10;EXW;11;3;;0,9;1;45;;
INTRA-CH;202409;513881387;UR-LA2-1647;87088055;NL;NL;10;EXW;11;3;;2,5;1;46;;
INTRA-CH;202409;513881387;UR-FT4-2846;87088055;NL;NL;10;EXW;11;3;;4,5;1;96;;
INTRA-CH;202409;513881387;UR-FD3-897;87088055;NL;NL;10;EXW;11;3;;2,4;1;96;;
INTRA-CH;202409;513881387;UR-LA2-1347;87088055;NL;NL;10;EXW;11;3;;2,3;1;48;;
INTRA-CH;202409;513881387;UR-RL2-301;87088055;NL;NL;10;EXW;11;3;;1,9;1;40;;
INTRA-CH;202409;513881387;UR-RL2-1414;87088055;NL;NL;10;EXW;11;3;;1;2;80;;
INTRA-CH;202409;513881387;UR-RE2-2758A;87088055;NL;NL;10;EXW;11;3;;3,3;1;75;;
INTRA-CH;202409;513881387;UR-RL4-1653;87088055;NL;NL;10;EXW;11;3;;1,9;1;64;;
INTRA-CH;202409;513881387;UR-TW2-1106;87088055;NL;NL;10;EXW;11;3;;2,1;1;57;;
INTRA-CH;202409;513881387;UR-TW4-2757;87088055;NL;NL;10;EXW;11;3;;2,4;1;82;;
INTRA-CH;202409;513881387;UR-RU2-858;87088055;NL;NL;10;EXW;11;3;;2,4;2;97;;
INTRA-CH;202409;513881387;UR-TW2-1796;87088055;NL;NL;10;EXW;11;3;;2,8;1;57;;
INTRA-CH;202409;513881387;UR-TW2-1412;87088055;NL;NL;10;EXW;11;3;;2;2;128;;
INTRA-CH;202409;513881387;UR-TW2-323;87088055;NL;NL;10;EXW;11;3;;3;5;287;;
INTRA-CH;202409;513881387;UE-TW2-1212;87088055;NL;NL;10;EXW;11;3;;1,7;3;172;;
INTRA-CH;202409;513881387;UR-TW2-3047;87088055;NL;NL;10;EXW;11;3;;3;2;142;;
INTRA-CH;202409;513881387;UR-TW2-305;84099100;NL;NL;10;EXW;11;3;;2,5;3;213;;
INTRA-CH;202409;513881387;UR-TW2-515;87088055;NL;NL;10;EXW;11;3;;2,9;1;77;;
INTRA-CH;202409;513881387;R-FOR-009-I;84099100;NL;NL;10;EXW;11;3;;3;1;360;;
INTRA-CH;202409;513881387;ILFR6B;85111000;DE;DE;10;EXW;11;3;;0,1;43;308;;
INTRA-CH;202409;513881387;ILFR7H;85111000;DE;DE;10;EXW;11;3;;0,2;12;123;;
INTRA-CH;202409;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;144;4620;;
INTRA-CH;202409;513881387;PFR7Z-TG;85111000;DE;DE;10;EXW;11;3;;0,1;15;104;;
INTRA-CH;202409;513881387;IZKR7B;85111000;DE;DE;10;EXW;11;3;;0,2;80;602;;
INTRA-CH;202409;513881387;SILFER8C7ES;85111000;DE;DE;10;EXW;11;3;;0,1;86;747;;
INTRA-CH;202409;513881387;SILZKGR8B8S;85111000;DE;DE;10;EXW;11;3;;0,1;100;749;;
INTRA-CH;202409;513881387;SILZKGR8B8S;85111000;DE;DE;10;EXW;11;3;;0,1;44;329;;
INTRA-CH;202409;513881387;SILZKGR8B8S;85111000;DE;DE;10;EXW;11;3;;0,1;56;419;;
INTRA-CH;202409;513881387;LKR8AP;85111000;DE;DE;10;EXW;11;3;;0,1;40;386;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;124;994;;
INTRA-CH;202409;513881387;R7437-8;85111000;DE;DE;10;EXW;11;3;;0,1;3;92;;
INTRA-CH;202409;513881387;DCPR8EKP;85111000;DE;DE;10;EXW;11;3;;0,1;6;52;;
INTRA-CH;202409;513881387;PFR7B;85111000;DE;DE;10;EXW;11;3;;0,2;2;18;;
INTRA-CH;202409;513881387;ILZKBR7B8G;85111000;DE;DE;10;EXW;11;3;;0,1;98;702;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;45;761;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;2;33;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;3;50;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;2;33;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;13;220;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;8;135;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;2;33;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;5;84;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;5;84;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;6;101;;
INTRA-CH;202409;513881387;U5055;85111000;DE;DE;10;EXW;11;3;;0,3;5;84;;
INTRA-CH;202409;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;6;115;;
INTRA-CH;202409;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;117;2256;;
INTRA-CH;202409;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;130;2507;;
INTRA-CH;202409;513881387;U5020;85111000;DE;DE;10;EXW;11;3;;0,2;66;1376;;
INTRA-CH;202409;513881387;S-AU/TI/23H;87089235;SI;SI;10;EXW;11;3;;23,5;1;4177;;
INTRA-CH;202409;513881387;M-FI/SS/1H/1;87089235;SI;SI;10;EXW;11;3;;15;1;718;;
INTRA-CH;202409;513881387;TP-CS/1;87089997;SI;SI;10;EXW;11;3;;2,1;1;547;;
INTRA-CH;202409;513881387;P-HF876;87089997;SI;SI;10;EXW;11;3;;2;1;558;;
INTRA-CH;202409;513881387;TTE855;84099100;DE;DE;10;EXW;11;3;;16,9;1;1749;;
INTRA-CH;202409;513881387;PFR7W-TG;85111000;DE;DE;10;EXW;11;3;;0,2;9;83;;
INTRA-CH;202409;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;96;3080;;
INTRA-CH;202409;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;70;2246;;
INTRA-CH;202409;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;37;1187;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;60;481;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;6;48;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;50;401;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;100;802;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;40;320;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;100;802;;
INTRA-CH;202409;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;20;160;;
INTRA-CH;202409;513881387;SVW0622-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;123;;
INTRA-CH;202409;513881387;SAU0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;151;;
INTRA-CH;202409;513881387;SHD0390-6C-BK;87083091;ES;ES;10;EXW;11;3;;0,7;1;128;;
INTRA-CH;202409;513881387;SHD0398-4C-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;74;;
INTRA-CH;202409;513881387;SAU0780-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;151;;
INTRA-CH;202409;513881387;SMA0600-1P-BK;87083091;ES;ES;10;EXW;11;3;;0,3;2;24;;
INTRA-CH;202409;513881387;SNN0801-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,9;1;91;;
INTRA-CH;202409;513881387;SME0461-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;148;;
INTRA-CH;202409;513881387;SME0863-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202409;513881387;SNN0910-1P-BK;40093100;ES;ES;10;EXW;11;3;;0,3;2;44;;
INTRA-CH;202409;513881387;SSE0432-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;61;;
INTRA-CH;202409;513881387;SNN0940-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,9;1;91;;
INTRA-CH;202409;513881387;SFD1216-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202409;513881387;SBW0502-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,9;2;126;;
INTRA-CH;202409;513881387;SBW1110-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,4;1;50;;
INTRA-CH;202409;513881387;SAU0900-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;63;;
