REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
ACSP1;2;5;10
AC-E46-FU;6;95;570
AC-S2K-FU;3;30;90
FMBGFK2;2;34.3275;68.655
RD3025;5;220.11;1100.55
SP1105BLK;4;200.05;800.2
SP1128WB;5;226.98;1134.9
FMDV14T-POL;3;44.8385;134.5155
SP6063BLK;2;172.62;345.24
FMDVK04D;1;89.6885;89.6885
FMDVSUB01;2;104.6385;209.277
FMDVATSI-POL;1;155.503;155.503
FMINTLFS-LS-BLA;1;407.376;407.376
AC-NC-FU;1;30;30
216BFWAOTSM;16;21.6;345.6
216BFWAOPSM;23;25.1;577.3
VIB-1458;38;0.35;13.3
RN09;2;175.812;351.624
ECA3015;1;142.02;142.02
SP2070P;1;181.98;181.98
EVO1206;6;247.15;1482.9
FMWRX301-ALL;2;115.621;231.242
216EVOWGAFRWB4.9-WO;5;112;560
216EVOAFRWB4.9-WO;1;112;112
MMAI-CLA45-14BK;19;265.1;5036.9
MMRAD-350Z-07;3;185.9;557.7
MMRAD-370Z-09;3;341.55;1024.65
MMTS-S2K-00L;3;31.9;95.7
MMFAN-SWITCH;4;25.3;101.2
CTS-IT-105R;12;150;1800
FMDVK04SA-SIL;8;102.7295;821.836
FMDV2A;2;126.063;252.126
FMDVA45A;2;116.3915;232.783
FMDVST180A;2;143.543;287.086
FMDV14TSI-POL;3;47.702;143.106
FMBGFK6;2;29.5665;59.133
FMPCVD1;7;62.284;435.988
SES1989TT;4;948.9;3795.6
CTS-HW-031;10;75;750
CTS-IT-250;3;208.99;626.97
CTS-IT-220R;20;165;3300
CTS-HW-030;9;54.99;494.91
CTS-IT-110;13;126.49;1644.37
CTS-HW-0090;7;98.99;692.93
CTS-HW-0151;6;109.99;659.94
CTS-IT-270R;13;173.49;2255.37
CTS-HW-0099;4;109.99;439.96
FMINTMRS;1;504.827;504.827
MMRAD-E46-01;3;334.83;1004.49
MMRAD-E36-92;9;169.4;1524.6
MMRAD-MUS4-15;2;316.8;633.6
CTS-IT-500;3;93.49;280.47
MMRAD-GLF-94;10;156.2;1562
MMRAD-MK5-08;8;166.65;1333.2
MMRAD-GLF-99;22;166.65;3666.3
MMRAD-B4-90;7;166.65;1166.55
MMRAD-BRZ-13;1;204.6;204.6
CTS-IT-280;10;85;850
MMRAD-R35-09;3;341.55;1024.65
MMRAD-MIA-99;19;151.8;2884.2
MMRAD-RX8-04;12;177.65;2131.8
MMRAD-240-89KA;6;156.2;937.2
MMRAD-CIV-02SI;3;166.65;499.95
MMRAD-INT-94;1;156.2;156.2
MMRAD-EVO-01;7;176;1232
MMRAD-EVO-10;3;166.65;499.95
MMAI-350Z-03H;11;130.35;1433.85
CTS-CC-MK6TSI;3;324.99;974.97
MMTS-S4-00L;6;31.9;191.4
MMTS-E90-07;29;39.05;1132.45
MMTS-350Z-03L;6;30.66;183.96
MMTS-350Z-07;5;41.25;206.25
MMTS-WRX-01;6;30.25;181.5
MMTS-GTR-09;5;62.7;313.5
MMTS-BRZ-13;2;31.9;63.8
MMTS-RX8-04L;4;30.66;122.64
MMTS-VR6-93L;7;31.9;223.3
MMTS-EVO-01;5;31.9;159.5
MMTS-FIST-14;3;31.9;95.7
CTS-CC-GOLFR;8;239.99;1919.92
CTS-CC-MK5FSI;2;259.99;519.98
216EVOEOP-RB;10;45.85;458.5
216EVOWT-C;1;27.5;27.5
CTS-20T-MK5-DF;4;400;1600
CTS-HS-150;2;15;30
CTS-IT-285;20;47.99;959.8
CTS-HW-003;2;35.99;71.98
CTS-IT-600;8;85;680
CTS-IT-275;4;109.99;439.96
CTS-IT-210;7;109.99;769.93
"CTS-HW-036 ARP";20;93.99;1879.8
CTS-HW-0199;18;43.99;791.82
MMOC-E46-01;3;444.85;1334.55
FMMK5FMIC-BLA;6;468.1765;2809.059
FMINT32;7;500.342;3502.394
FMINDST180;3;108.2495;324.7485
FMIND05;3;158.171;474.513
216EVOEGT;14;52.35;732.9
MMOC-MIA-99T;1;235.32;235.32
MMOC-EVO-08;2;327.78;655.56
MMBCC-N54-06CBE2;7;117.7;823.9
EVO9200;2;203.99;407.98
EVO300E;5;212.96;1064.8
MMBCC-FIST-14PBE;4;126.5;506
MMBCC-FOST-13PBE2;1;118.8;118.8
MMBCC-MUS4-15PBE;2;113.85;227.7
MMBCC-BRZ-13PBE;6;126.5;759
CTS-IT-020;3;85;255
MMHOSE-MIA-90HHBK;2;34.83;69.66
MMHOSE-MIA-94HHBK;2;38.071;76.142
216BFWAWTSM;14;21.6;302.4
216BFWAVOSM;15;19.8;297
216BFWGEBOSM;3;30.35;91.05
216BFWGOPSM;3;26.7;80.1
216BFWGOTSM;5;23.25;116.25
MMHOSE-R35-09BK;3;77.55;232.65
FMBGFK3;4;29.1525;116.61
FMDVRMR;2;93.426;186.852
MMRAD-K20-EK;2;195.8;391.6
MMRAD-K20-EG;1;159.04;159.04
FMDVCS14A;2;82.2135;164.427
FMBM335DV1-BLA-BLA;1;298.9885;298.9885
CTS-HW-028;3;54.99;164.97
CTS-HW-049;6;17.99;107.94
S-RE/T/1;1;1737.16;1737.16
CTS-EXH-DP-0007;2;439.99;879.98
FMINTTTS;1;395.4965;395.4965
FMINT135F20;1;451.007;451.007
FMINTR56-ALL;1;382.5245;382.5245
FMINTMF56;2;344.4595;688.919
MMFS-S2K-00;1;118.8;118.8
MMFS-INT-94;1;118.8;118.8
MMFS-MIA-90;2;127.93;255.86
MMFS-MIA-99;7;118.8;831.6
MMFS-RX8-04;6;118.8;712.8
PF04;29;131;3799
CTS-EXH-DP-0008;2;165;330
SES1987TT;7;950.58;6654.06
Evo1102;8;432.68;3461.44
SES9001TT;2;671.45;1342.9
MMRAD-FIST-14K;1;341.55;341.55
MMRAD-FOST-13;6;321.2;1927.2
CTS-IT-190;2;150;300
CTS-HW-0133;4;87.99;351.96
MMBCC-RS-16PBE2;2;139.15;278.3
AC-200-OSA;11;16.85;185.35
MMTS-GTI-99;18;31.9;574.2
CTS-HW-262;15;126.49;1897.35
CTS-HW-118;2;26.99;53.98
TTE80;1;66.55;66.55
CTS-HW-046;7;71.99;503.93
FMMD1;4;74.7385;298.954
CTS-HW-205-4;10;47.99;479.9
EVO1801;1;201.19;201.19
SES1230TT;3;748.8;2246.4
EVO2001;1;203.99;203.99
FMMD2;4;73.1975;292.79
MMFS-CIV-92;7;88.55;619.85
MMFS-WRX-01P;5;144.1;720.5
MMFS-S14-95SR;6;118.8;712.8
MMFS-EVO-01;4;118.18;472.72
MMFS-B4-90;6;118.18;709.08
MMFS-BRZ-13P;2;177.1;354.2
MMFS-240-89KA;7;118.8;831.6
MMEXH-MUS4-15;3;541.97;1625.91
FMCCRADS53T;1;563.5;563.5
MMFS-STI-08P;3;155.1;465.3
MMFS-350Z-03;9;137.5;1237.5
MMFS-EVO-10;3;118.18;354.54
FMBGFK4;2;26.174;52.348
FMMD3;1;87.1585;87.1585
VWR12G6GT;7;187.611;1313.277
VWR12G7R600ITINLET;90;79.12;7120.8
MMOP-TPS;1;34.65;34.65
VWR12G5GT;6;262.959;1577.754
005001005;1;486.13;486.13
VWR12L0CR;1;285.568;285.568
VWR12G60R;6;278.0355;1668.213
FMSCPS53T;1;133.377;133.377
FMDVV4010-POL;2;74.129;148.258
VWR160001;76;67.8155;5153.978
VWR31G5GT;3;137.31;411.93
VWR31G60R;2;137.31;274.62
VWR31G7GT;23;148.3385;3411.7855
VWR31G70R;9;148.3385;1335.0465
VWR31S000;2;137.31;274.62
VWR19G701;11;37.674;414.414
VWR19G702;15;45.2065;678.0975
VWR12P0GT;2;201.9285;403.857
VWR1230S3;4;293.1005;1172.402
11002BK;384;2.41;925.44
MMGP-RS-16BK;1;48.42;48.42
VWR11G502;2;37.674;75.348
VWR11G503;1;37.674;37.674
VWR11P1GT;2;57.1435;114.287
VWR11P0GT;2;65.0555;130.111
VWR11G501;3;37.674;113.022
VWR11G701;7;45.2065;316.4455
VWR1140S4;2;69.4485;138.897
VWR12PRWRC;2;480.3435;960.687
VWR12G6K03;1;262.959;262.959
FMBGFK7;2;23.897;47.794
VWR69G7KIT;12;82.8805;994.566
VWR15G503;4;149.753;599.012
MMTS-240-89KA;7;31.9;223.3
MMSTB-FIST-14TB;2;114.4;228.8
MMSTB-MUS-15;2;109.33;218.66
MMSK-TUE-16;2;33.4;66.8
MMSK-RKST;1;41.71;41.71
MMSK-PGR-BK;3;47.97;143.91
MMSK-FSB;2;33;66
MMSK-CF;5;34.65;173.25
216BFWABOSM;10;16.3;163
216BFWAFPSM;4;27.5;110
VWR13G700;28;369.2075;10337.81
VWR13G700RFK;37;37.674;1393.938
MMGRT-215;2;18.17;36.34
MMGRT-235;3;47.3;141.9
TTE600RS4;1;2563.83;2563.83
CTS-EXH-CB-0007.0;5;479.99;2399.95
CTS-EXH-CB-0002;3;449.99;1349.97
CTS-EXH-CB-0020-2;4;599.99;2399.96
CTS-EXH-CB-0008;2;539.99;1079.98
CTS-EXH-CB-0001;2;419.99;839.98
CTS-EXH-CB-0003;1;584.99;584.99
CTS-EXH-CB-0015;1;839.99;839.99
CTS-EXH-CB-0017;1;329.99;329.99
CTS-EXH-CB-0016;1;412.49;412.49
FMCCRAD7;2;761.829;1523.658
FMINT7;1;399.119;399.119
FMSBCVXR;1;27.8185;27.8185
FMBGFK11;4;29.5665;118.266
FMWBSCI-BLA;1;68.6665;68.6665
FMVAG5QS;3;70.38;211.14
FMBP135F20;2;205.091;410.182
CTS-IT-300R;18;164.99;2969.82
FMBGMCS;1;23.552;23.552
FMBPVRM;2;21.2635;42.527
FMBSMP18T;5;168.176;840.88
FMWS11BB;2;36.823;73.646
JSK-111-70;2;89.677;179.354
FMOCRS4;2;686.1935;1372.387
MMAF-REOIL-RD;4;13.2;52.8
CTS-IT-310;5;100;500
FMKT135F20;10;62.284;622.84
VWR31G70RW;6;148.3385;890.031
VWR610360GUN;2;227.723;455.446
VWR610360SVR;4;227.723;910.892
ACCLAMP3;2;1.13;2.26
ACCLAMP275;110;1.13;124.3
VWR12G7R600FO;25;63.4685;1586.7125
FMAUTB2;2;208.472;416.944
FMRCAM;1;234.094;234.094
FMRCAMF56;1;216.085;216.085
FMDV6A;3;205.344;616.032
FMDVST180R;2;140.7255;281.451
FMDVCS14R;1;94.8175;94.8175
VWR19G706;7;48.9785;342.8495
VWR19G704;6;45.2065;271.239
FMDVF20R;2;109.526;219.052
FMDVR56A;1;155.503;155.503
FMDVR60R;2;117.116;234.232
FMDVF20A;2;110.837;221.674
FMDVMCS;4;47.702;190.808
VWR12P0GT-FO;3;75.9;227.7
FMDVR60A;1;155.503;155.503
10.127.101K;14;186.97;2617.58
