FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202407;513881387;S-AU/TI/23H;87089235;SI;SI;10;EXW;11;3;;25,3;1;4177;;
INTRA-CH;202407;513881387;UR-ML4-1193;87088055;NL;NL;10;EXW;11;3;;3,8;1;64;;
INTRA-CH;202407;513881387;UR-LA2-2090;87088055;NL;NL;10;EXW;11;3;;2;2;99;;
INTRA-CH;202407;513881387;UR-TW2-990;87088055;NL;NL;10;EXW;11;3;;3,4;2;128;;
INTRA-CH;202407;513881387;UR-TW2-305;84099100;NL;NL;10;EXW;11;3;;2,5;1;71;;
INTRA-CH;202407;513881387;UR-RL2-988;87088055;NL;NL;10;EXW;11;3;;2,2;1;48;;
INTRA-CH;202407;513881387;UR-AR23-361;87088055;NL;NL;10;EXW;11;3;;4,6;1;123;;
INTRA-CH;202407;513881387;UR-RE2-066;87088055;NL;NL;10;EXW;11;3;;2,1;1;57;;
INTRA-CH;202407;513881387;UR-TW2-1345;87088055;NL;NL;10;EXW;11;3;;2,5;1;68;;
INTRA-CH;202407;513881387;UR-TW2-3047;87088055;NL;NL;10;EXW;11;3;;3;3;213;;
INTRA-CH;202407;513881387;UR-LA4-1233;87088055;NL;NL;10;EXW;11;3;;2,5;1;64;;
INTRA-CH;202407;513881387;URTW-TW4-4008;87088055;NL;NL;10;EXW;11;3;;2,5;1;82;;
INTRA-CH;202407;513881387;UR-LA4-3887;87088055;NL;NL;10;EXW;11;3;;3,4;2;136;;
INTRA-CH;202407;513881387;URTW-LA4-4010;87088055;NL;NL;10;EXW;11;3;;3;1;71;;
INTRA-CH;202407;513881387;UR-RE2-1645;87088055;NL;NL;10;EXW;11;3;;2,6;1;57;;
INTRA-CH;202407;513881387;UR-TW2-1269;87088055;NL;NL;10;EXW;11;3;;3,1;2;114;;
INTRA-CH;202407;513881387;UR-TW2-1269;87088055;NL;NL;10;EXW;11;3;;3,1;2;114;;
INTRA-CH;202407;513881387;UR-TW2-3300;87088055;NL;NL;10;EXW;11;3;;3,5;1;71;;
INTRA-CH;202407;513881387;UR-TW4-2757;87088055;NL;NL;10;EXW;11;3;;2,4;1;82;;
INTRA-CH;202407;513881387;UR-LA4-3512;87088055;NL;NL;10;EXW;11;3;;2,5;3;204;;
INTRA-CH;202407;513881387;UR-LA4-1445;87088055;NL;NL;10;EXW;11;3;;5;1;77;;
INTRA-CH;202407;513881387;UR-RL2-3304;87088055;NL;NL;10;EXW;11;3;;2;2;90;;
INTRA-CH;202407;513881387;URTW-LA2-4009;87088055;NL;NL;10;EXW;11;3;;2;1;48;;
INTRA-CH;202407;513881387;UR-RL2-3014;87088055;NL;NL;10;EXW;11;3;;1,5;1;40;;
INTRA-CH;202407;513881387;UR-TW2-3909;87088055;NL;NL;10;EXW;11;3;;1,9;1;68;;
INTRA-CH;202407;513881387;UR-TW2-3909;87088055;NL;NL;10;EXW;11;3;;1,9;3;204;;
INTRA-CH;202407;513881387;UR-TW2-3051;87088055;NL;NL;10;EXW;11;3;;1,7;2;142;;
INTRA-CH;202407;513881387;URTW-ML4-4011;87088055;NL;NL;10;EXW;11;3;;2,5;1;68;;
INTRA-CH;202407;513881387;UR-RU2-858;87088055;NL;NL;10;EXW;11;3;;2,4;1;48;;
INTRA-CH;202407;513881387;UR-TW2-1796;87088055;NL;NL;10;EXW;11;3;;2,8;2;114;;
INTRA-CH;202407;513881387;UR-AR18-642;87088055;NL;NL;10;EXW;11;3;;4;1;102;;
INTRA-CH;202407;513881387;URTW-RE2-2919A;87088055;NL;NL;10;EXW;11;3;;3,4;1;80;;
INTRA-CH;202407;513881387;SBW0261-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202407;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;9;363;;
INTRA-CH;202407;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;7;282;;
INTRA-CH;202407;513881387;SRN0610-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,7;1;40;;
INTRA-CH;202407;513881387;SBW0260-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;60;;
INTRA-CH;202407;513881387;SBW1171-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;121;;
INTRA-CH;202407;513881387;28003-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;151;;
INTRA-CH;202407;513881387;28003-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202407;513881387;SSK0502-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;32;;
INTRA-CH;202407;513881387;SVW0615-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202407;513881387;SHD0390-6P-RD;87083091;ES;ES;10;EXW;11;3;;0,7;2;154;;
INTRA-CH;202407;513881387;SAU0601-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;121;;
INTRA-CH;202407;513881387;SAU0631-4P-BL;87083091;ES;ES;10;EXW;11;3;;0,5;2;126;;
INTRA-CH;202407;513881387;SNN0910-1P-BK;87083091;ES;ES;10;EXW;11;3;;0,3;4;59;;
INTRA-CH;202407;513881387;SBW0261-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;4;202;;
INTRA-CH;202407;513881387;SHY0800-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,8;4;161;;
