FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202505;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;134;2629;;
INTRA-CH;202505;513881387;SILZKGR8C8S;85111000;DE;DE;10;EXW;11;3;;0,1;80;1115;;
INTRA-CH;202505;513881387;SILZKGR8C8S;85111000;DE;DE;10;EXW;11;3;;0,1;100;1394;;
INTRA-CH;202505;513881387;883089.000046;84836080;DE;DE;10;EXW;11;3;;15,5;3;2746;;
INTRA-CH;202505;513881387;001394.999502;84836080;DE;DE;10;EXW;11;3;;6,7;4;1751;;
INTRA-CH;202505;513881387;613182.654150;87089997;DE;DE;10;EXW;11;3;;0,5;20;907;;
INTRA-CH;202505;513881387;3182654196;84836080;DE;DE;10;EXW;11;3;;0,5;1;124;;
INTRA-CH;202505;513881387;001394.999505;84836080;DE;DE;10;EXW;11;3;;6,8;2;933;;
INTRA-CH;202505;513881387;001422.999502;84836080;DE;DE;10;EXW;11;3;;7;10;4378;;
INTRA-CH;202505;513881387;883089.000127;84836080;DE;DE;10;EXW;11;3;;15,3;2;1907;;
INTRA-CH;202505;513881387;TTE560-NW;84099100;DE;DE;10;EXW;11;3;;13;1;1028;;
INTRA-CH;202505;513881387;"TTE300 MINI";84099900;DE;DE;10;EXW;11;3;;9,4;2;1426;;
INTRA-CH;202505;513881387;TTE475;84099100;DE;DE;10;EXW;11;3;;13,5;1;764;;
INTRA-CH;202505;513881387;TTE575;84099900;DE;DE;10;EXW;11;3;;10,2;1;2293;;
INTRA-CH;202505;513881387;IFR7X8G;85111000;DE;DE;10;EXW;11;3;;0,2;10;119;;
INTRA-CH;202505;513881387;SFD1216-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202505;513881387;SMA0101-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;122;;
INTRA-CH;202505;513881387;SVW0630-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202505;513881387;SMA0110-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;74;;
INTRA-CH;202505;513881387;SMA0112-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;61;;
INTRA-CH;202505;513881387;SSU8003-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202505;513881387;SVA0714-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202505;513881387;SAU0780-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202505;513881387;STY0015-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202505;513881387;SBW0261-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202505;513881387;SVW0615-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202505;513881387;SAU0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202505;513881387;SSE0250-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202505;513881387;SMA0002-1C-BK;40093100;ES;ES;10;EXW;11;3;;0,3;2;44;;
INTRA-CH;202505;513881387;SBW1180-4C-RD;87083091;ES;ES;10;EXW;11;3;;0,6;1;63;;
INTRA-CH;202505;513881387;SRN0615-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;80;;
INTRA-CH;202505;513881387;SAU0496-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;202505;513881387;SVW1070-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;82;;
INTRA-CH;202505;513881387;SFT0658-6P-YE;87083091;ES;ES;10;EXW;11;3;;0,7;1;61;;
INTRA-CH;202505;513881387;SPE1050-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;41;;
INTRA-CH;202505;513881387;SSE0432-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;202505;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
