FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;20262;513881387;S-TY/T/3;87089235;SI;SI;10;EXW;11;3;;13;1;2034;;
INTRA-CH;20262;513881387;P-CP034;87089235;SI;SI;10;EXW;11;3;;2;1;1106;;
INTRA-CH;20262;513881387;TP-CT/26;10;SI;SI;10;EXW;11;3;;3,4;1;1101;;
INTRA-CH;20262;513881387;DP-BM/SS/3;87089235;SI;SI;10;EXW;11;3;;7,6;1;1008;;
INTRA-CH;20262;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;4;202;;
INTRA-CH;20262;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;3;151;;
INTRA-CH;20262;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;20262;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;6;303;;
INTRA-CH;20262;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;4;202;;
INTRA-CH;20262;513881387;SVW0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;7;354;;
INTRA-CH;20262;513881387;SVW0630-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;3;151;;
INTRA-CH;20262;513881387;SVW0630-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;20262;513881387;SVW0630-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;20262;513881387;SNN0910-6P-BK;87083091;ES;ES;10;EXW;11;3;;0,9;1;105;;
INTRA-CH;20262;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;6;303;;
INTRA-CH;20262;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;20262;513881387;SSE0433-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;20262;513881387;SAU0496-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;20262;513881387;SSE0426-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;6;303;;
INTRA-CH;20262;513881387;SSE0630-4P-EB;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;20262;513881387;SSE0630-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;20262;513881387;SAU0437-4P-RD;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;20262;513881387;SVW0630-4P-YE;87083091;ES;ES;10;EXW;11;3;;0,5;1;50;;
INTRA-CH;20262;513881387;SSE0432-4P-BK;87083091;ES;ES;10;EXW;11;3;;0,5;2;101;;
INTRA-CH;20262;513881387;M-BM/T/8H;87089235;SI;SI;10;EXW;11;3;;26;1;2456;;
INTRA-CH;20262;513881387;E-BM/T/3;87089235;SI;SI;10;EXW;11;3;;16,7;1;1543;;
INTRA-CH;20262;513881387;S-TY/T/3;87089235;SI;SI;10;EXW;11;3;;13;2;4068;;
INTRA-CH;20262;513881387;VSHA2-C1AA1;87089997;FR;FR;10;EXW;11;3;;31;1;770;;
INTRA-CH;20262;513881387;GSA22-9USS2;87089997;FR;FR;10;EXW;11;3;;26;2;896;;
INTRA-CH;20262;513881387;VSY24-C1SA4;87089997;FR;FR;10;EXW;11;3;;25;1;742;;
INTRA-CH;20262;513881387;VSGB0-C1AA3;87089997;FR;FR;10;EXW;11;3;;21;2;1428;;
INTRA-CH;20262;513881387;VSGP4-B1DS2;10;FR;FR;10;EXW;11;3;;19;1;384;;
INTRA-CH;20262;513881387;VSE18-C1SA4;87089997;FR;FR;10;EXW;11;3;;33,1;2;1358;;
INTRA-CH;20262;513881387;VSAEA-C1SA4;87089997;FR;FR;10;EXW;11;3;;27;1;728;;
INTRA-CH;20262;513881387;VSM58-C1SA3;73209090;FR;FR;10;EXW;11;3;;24,5;1;413;;
INTRA-CH;20262;513881387;VSTD8-C1SA4;87089997;FR;FR;10;EXW;11;3;;26,5;1;686;;
INTRA-CH;20262;513881387;VSY24-C1SA4;87089997;FR;FR;10;EXW;11;3;;25;1;742;;
INTRA-CH;20262;513881387;SKH26-S3B00;73209090;FR;FR;10;EXW;11;3;;9,5;1;100;;
INTRA-CH;20262;513881387;SKH36-S3B00;84099100;FR;FR;10;EXW;11;3;;8,3;1;90;;
INTRA-CH;20262;513881387;SKHK8-S3B00;73209090;FR;FR;10;EXW;11;3;;12,5;3;330;;
INTRA-CH;20262;513881387;SKA12-S3B00;84099100;FR;FR;10;EXW;11;3;;12;2;230;;
INTRA-CH;20262;513881387;SKTJ4-S3B00;73209090;FR;FR;10;EXW;11;3;;11;1;120;;
INTRA-CH;20262;513881387;UR-ROC4-1260A;87088055;NL;NL;10;EXW;11;3;;5;1;105;;
INTRA-CH;20262;513881387;UR-ML4-3054;87088055;NL;NL;10;EXW;11;3;;1,9;1;64;;
INTRA-CH;20262;513881387;UR-FD3-947;87088055;NL;NL;10;EXW;11;3;;3;1;88;;
INTRA-CH;20262;513881387;UR-LA6-1292;87088055;NL;NL;10;EXW;11;3;;5;1;90;;
INTRA-CH;20262;513881387;UR-LA6-3012;87088055;NL;NL;10;EXW;11;3;;6,8;1;100;;
INTRA-CH;20262;513881387;UR-LA4-157x;87088055;NL;NL;10;EXW;11;3;;3,7;1;68;;
INTRA-CH;20262;513881387;URTW-RU4-2987;87088055;NL;NL;10;EXW;11;3;;3,3;2;177;;
INTRA-CH;20262;513881387;URTW-RU4-2987;87088055;NL;NL;10;EXW;11;3;;3,3;1;88;;
INTRA-CH;20262;513881387;UR-RL4-1259;87088055;NL;NL;10;EXW;11;3;;5;1;88;;
INTRA-CH;20262;513881387;UR-LA4-420;87088055;NL;NL;10;EXW;11;3;;2,5;2;136;;
INTRA-CH;20262;513881387;UR-LA4-3887;87088055;NL;NL;10;EXW;11;3;;3,4;1;68;;
INTRA-CH;20262;513881387;UR-LA4-3887;87088055;NL;NL;10;EXW;11;3;;3,4;2;136;;
INTRA-CH;20262;513881387;UR-LA8-1257;87088055;NL;NL;10;EXW;11;3;;5,3;1;102;;
INTRA-CH;20262;513881387;URTW-TW4-4008;87088055;NL;NL;10;EXW;11;3;;2,5;1;82;;
INTRA-CH;20262;513881387;UR-RL4-1294;87088055;NL;NL;10;EXW;11;3;;4,2;1;68;;
INTRA-CH;20262;513881387;UR-FD3-019;87088055;NL;NL;10;EXW;11;3;;3;1;88;;
INTRA-CH;20262;513881387;UR-LS6-1446P;87088055;NL;NL;10;EXW;11;3;;4;1;82;;
INTRA-CH;20262;513881387;UR-RLS6-1272P;87088055;NL;NL;10;EXW;11;3;;8;1;86;;
INTRA-CH;20262;513881387;UR-TW3-020;87088055;NL;NL;10;EXW;11;3;;3,7;4;256;;
INTRA-CH;20262;513881387;UR-TW3-020;87088055;NL;NL;10;EXW;11;3;;3,7;3;192;;
