REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
AC-E46-FU;4;95;380
AC-S2K-FU;3;30;90
FMBGFK2;1;34.3275;34.3275
RD3025;4;220.11;880.44
SP1105BLK;4;200.05;800.2
SP1128WB;4;226.98;907.92
SP6063BLK;1;172.62;172.62
FMDVK04D;5;89.6885;448.4425
FMDVATSI-POL;1;155.503;155.503
FMDV004-POL;5;67.2635;336.3175
FMINTLFS-LS-BLA;1;407.376;407.376
216BFWAOTSM;9;21.6;194.4
216BFWAOPSM;12;25.1;301.2
VIB-1458;29;0.35;10.15
RN09;2;175.812;351.624
ECA3015;1;142.02;142.02
SP2070P;1;181.98;181.98
EVO1206;6;247.15;1482.9
FMWRX301-ALL;2;115.621;231.242
216EVOWGAFRWB4.9-WO;5;112;560
216EVOAFRWB4.9-WO;1;112;112
MMAI-CLA45-14BK;12;265.1;3181.2
MMRAD-350Z-07;2;185.9;371.8
MMRAD-370Z-09;2;341.55;683.1
MMTS-S2K-00L;5;31.9;159.5
MMFAN-SWITCH;4;25.3;101.2
CTS-IT-105R;14;150;2100
FMDVK04SA-SIL;7;102.7295;719.1065
FMDV2A;2;126.063;252.126
FMDVA45A;1;116.3915;116.3915
FMDVST180A;2;143.543;287.086
FMDV14TSI-POL;3;47.702;143.106
FMBGFK6;2;29.5665;59.133
FMPCVD1;8;62.284;498.272
SES1989TT;3;948.9;2846.7
CTS-HW-031;4;75;300
CTS-IT-250;9;208.99;1880.91
CTS-IT-220R;17;165;2805
CTS-HW-030;9;54.99;494.91
CTS-IT-110;19;126.49;2403.31
CTS-HW-0090;6;98.99;593.94
CTS-HW-0151;4;109.99;439.96
CTS-IT-270R;12;173.49;2081.88
CTS-HW-0099;4;109.99;439.96
FMINTMRS;1;504.827;504.827
MMRAD-E46-01;2;334.83;669.66
MMRAD-E36-92;17;169.4;2879.8
MMRAD-MUS4-15;2;316.8;633.6
MMRAD-GLF-94;10;156.2;1562
MMRAD-MK5-08;7;166.65;1166.55
MMRAD-GLF-99;26;166.65;4332.9
MMRAD-B4-90;5;166.65;833.25
CTS-IT-280;3;85;255
MMRAD-R35-09;3;341.55;1024.65
MMRAD-MIA-99;17;151.8;2580.6
MMRAD-RX8-04;10;177.65;1776.5
MMRAD-240-89KA;5;156.2;781
MMRAD-CIV-02SI;2;166.65;333.3
MMRAD-INT-94;2;156.2;312.4
MMRAD-EVO-01;4;176;704
MMRAD-EVO-10;3;166.65;499.95
MMAI-350Z-03H;11;130.35;1433.85
CTS-CC-MK6TSI;6;324.99;1949.94
MMTS-S4-00L;6;31.9;191.4
MMTS-E90-07;35;39.05;1366.75
MMTS-CIV-92L;6;30.25;181.5
MMTS-350Z-03L;7;30.66;214.62
MMTS-350Z-07;5;41.25;206.25
MMTS-WRX-01;2;30.25;60.5
MMTS-GTR-09;5;62.7;313.5
MMTS-BRZ-13;2;31.9;63.8
MMTS-RX8-04L;15;31.9;478.5
MMTS-RSX-02;5;41.25;206.25
MMTS-VR6-93L;7;31.9;223.3
MMTS-EVO-01;5;31.9;159.5
MMTS-FIST-14;1;31.9;31.9
CTS-CC-GOLFR;7;239.99;1679.93
CTS-CC-MK5FSI;2;259.99;519.98
216EVOEOP-RB;10;45.85;458.5
CTS-20T-MK5-DF;4;400;1600
CTS-IT-285;1;47.99;47.99
CTS-HW-003;2;35.99;71.98
CTS-SIL-NOISE;3;16.49;49.47
CTS-IT-600;7;85;595
CTS-IT-275;4;109.99;439.96
CTS-IT-210;5;109.99;549.95
"CTS-HW-036 ARP";16;93.99;1503.84
CTS-HW-0199;9;43.99;395.91
MMOC-E46-01;3;444.85;1334.55
FMMK5FMIC-BLA;8;468.1765;3745.412
FMINT32;11;500.342;5503.762
FMINDST180;2;108.2495;216.499
FMIND05;3;158.171;474.513
216EVOEGT;14;52.35;732.9
MMOC-MIA-99T;1;235.32;235.32
MMOC-EVO-08;2;327.78;655.56
MMBCC-N54-06CBE2;10;117.7;1177
EVO9200;2;203.99;407.98
EVO300E;3;212.96;638.88
MMBCC-FIST-14PBE;2;126.5;253
MMBCC-FOST-13PBE2;1;118.8;118.8
MMBCC-MUS4-15PBE;6;113.85;683.1
MMBCC-BRZ-13PBE;5;126.5;632.5
CTS-IT-020;2;85;170
MMHOSE-MIA-90HHBK;2;34.83;69.66
MMHOSE-MIA-94HHBK;2;38.071;76.142
216BFWAWTSM;8;21.6;172.8
216BFWAVOSM;15;19.8;297
216BFWGEBOSM;2;30.35;60.7
216BFWGOPSM;2;26.7;53.4
216BFWGOTSM;2;23.25;46.5
MMHOSE-R35-09BK;3;77.55;232.65
FMBGFK3;3;29.1525;87.4575
MMRAD-K20-EK;2;195.8;391.6
MMRAD-K20-EG;1;159.04;159.04
FMDVCS14A;2;82.2135;164.427
FMBM335DV1-BLA-BLA;11;298.9885;3288.8735
CTS-HW-028;1;54.99;54.99
CTS-HW-049;6;17.99;107.94
E-BM/T/3;1;1543.97;1543.97
TP-CT/26;1;1101.76;1101.76
M-BM/T/8H;1;2456.19;2456.19
CTS-EXH-DP-0007;2;439.99;879.98
FMINTTTS;1;395.4965;395.4965
FMINT135F20;1;451.007;451.007
FMINTR56-ALL;1;382.5245;382.5245
FMINTMF56;2;344.4595;688.919
MMFS-S2K-00;1;118.8;118.8
MMFS-INT-94;2;118.8;237.6
MMFS-MIA-90;2;127.93;255.86
MMFS-MIA-99;7;118.8;831.6
MMFS-RX8-04;3;118.8;356.4
PF04;47;131;6157
CTS-EXH-DP-0008;2;165;330
SES1987TT;7;950.58;6654.06
Evo1102;8;432.68;3461.44
SES9001TT;2;671.45;1342.9
10.127.100K;74;186.97;13835.78
MMRAD-FIST-14K;2;341.55;683.1
MMRAD-FOST-13;6;321.2;1927.2
CTS-IT-190;2;150;300
CTS-HW-0133;1;87.99;87.99
MMBCC-RS-16PBE2;4;139.15;556.6
AC-200-OSA;8;16.85;134.8
MMTS-GTI-99;16;31.9;510.4
CTS-HW-262;15;126.49;1897.35
CTS-HW-118;1;26.99;26.99
TTE80;1;66.55;66.55
FMMD1;3;74.7385;224.2155
CTS-HW-205-4;2;47.99;95.98
SES1230TT;3;748.8;2246.4
FMMD2;6;73.1975;439.185
MMFS-CIV-92;5;88.55;442.75
MMFS-WRX-01P;5;144.1;720.5
MMFS-S14-95SR;6;118.8;712.8
MMFS-EVO-01;3;118.18;354.54
MMFS-B4-90;5;118.18;590.9
MMFS-BRZ-13P;2;177.1;354.2
MMFS-240-89KA;6;118.8;712.8
MMEXH-MUS4-15;3;541.97;1625.91
FMCCRADS53T;1;563.5;563.5
MMFS-STI-08P;2;155.1;310.2
MMFS-350Z-03;10;137.5;1375
MMFS-EVO-10;3;118.18;354.54
FMBGFK4;2;26.174;52.348
FMMD3;1;87.1585;87.1585
VWR12G6GT;3;187.611;562.833
VWR12G7R600ITINLET;83;79.12;6566.96
MMOP-TPS;14;34.65;485.1
VWR12G5GT;5;262.959;1314.795
VWR12L0CR;2;285.568;571.136
VWR12G60R;3;278.0355;834.1065
FMDVV4010-POL;2;74.129;148.258
VWR160001;65;67.8155;4408.0075
VWR31G5GT;5;137.31;686.55
VWR31G60R;1;137.31;137.31
VWR31G7GT;20;148.3385;2966.77
VWR31G70R;8;148.3385;1186.708
VWR31S000;2;137.31;274.62
VWR19G701;16;37.674;602.784
VWR19G702;20;45.2065;904.13
VWR12P0GT;1;201.9285;201.9285
VWR1230S3;4;293.1005;1172.402
11002BK;380;2.41;915.8
MMGP-RS-16BK;2;50.05;100.1
VWR11G502;1;37.674;37.674
VWR11G503;2;37.674;75.348
VWR11P1GT;2;57.1435;114.287
VWR11P0GT;2;65.0555;130.111
VWR11G501;3;37.674;113.022
VWR11G701;6;45.2065;271.239
VWR1140S4;2;69.4485;138.897
VWR12PRWRC;2;480.3435;960.687
VWR12G6K03;1;262.959;262.959
FMBGFK7;2;23.897;47.794
VWR69G7KIT;10;82.8805;828.805
VWR15G503;2;149.753;299.506
MMTS-240-89KA;5;31.9;159.5
MMSTB-FIST-14TB;2;114.4;228.8
MMSTB-MUS-15;1;109.33;109.33
MMSK-TUE-16;2;33.4;66.8
MMSK-RKST;1;41.71;41.71
MMSK-PGR-BK;3;47.97;143.91
MMSK-FSB;2;33;66
MMSK-CF;4;34.65;138.6
216BFWAFPSM;4;27.5;110
VWR13G700;36;369.2075;13291.47
VWR13G700RFK;34;37.674;1280.916
MMGRT-215;6;25.3;151.8
MMGRT-235;3;47.3;141.9
TTE600RS4;1;2563.83;2563.83
CTS-EXH-CB-0007.0;4;479.99;1919.96
CTS-EXH-CB-0020-2;3;599.99;1799.97
CTS-EXH-CB-0008;2;539.99;1079.98
CTS-EXH-CB-0001;2;419.99;839.98
CTS-EXH-CB-0003;1;584.99;584.99
CTS-EXH-CB-0015;1;839.99;839.99
CTS-EXH-CB-0017;1;329.99;329.99
CTS-EXH-CB-0016;1;412.49;412.49
FMCCRAD7;2;761.829;1523.658
FMINT7;3;399.119;1197.357
FMTUBL1;4;48.001;192.004
FMRMCLMP;3;19.044;57.132
FMSBCVXR;3;27.8185;83.4555
FMBGFK11;4;29.5665;118.266
FMWBSCI-BLA;1;68.6665;68.6665
FMVAG5QS;3;70.38;211.14
FMBP135F20;2;205.091;410.182
CTS-IT-300R;2;164.99;329.98
FMBGMCS;5;23.552;117.76
FMBPVXA;3;23.046;69.138
FMBPVRM;2;21.2635;42.527
FMBSMP18T;4;168.176;672.704
FMWS11BB;1;34.201;34.201
JSK-111-70;2;89.677;179.354
FMOCRS4;1;686.1935;686.1935
MMAF-REOIL-RD;7;13.2;92.4
CTS-IT-310;4;100;400
FMKT135F20;11;62.284;685.124
VWR31G70RW;6;148.3385;890.031
VWR610360GUN;2;227.723;455.446
VWR610360SVR;4;227.723;910.892
FMMKV1-BLA;1;26.634;26.634
ACCLAMP3;100;2.57;257
ACCLAMP275;108;1.13;122.04
VWR12G7R600FO;35;68.7585;2406.5475
FMRCAMF56;1;216.085;216.085
FMDV6A;3;205.344;616.032
FMDVST180R;2;140.7255;281.451
FMDVCS14R;2;102.718;205.436
VWR19G706;7;48.9785;342.8495
VWR19G704;14;45.2065;632.891
FMDVF20R;2;109.526;219.052
FMDVR56A;3;155.503;466.509
FMDVR60R;2;117.116;234.232
FMDVF20A;2;120.083;240.166
FMDVMCS;4;47.702;190.808
VWR12P0GT-FO;3;75.9;227.7
FMDVR60A;1;155.503;155.503
10.127.101K;17;186.97;3178.49
10.127.203K;84;186.97;15705.48
FMINDK40-FOAM;2;411.148;822.296
VIB-1559;97;0.35;33.95
FMCTMK6;1;243.455;243.455
CTS-HW-0091;8;93.49;747.92
CTS-HW-0092;3;109.99;329.97
VWR30G500;3;235.083;705.249
MMICP-RS-16CBK;4;114.95;459.8
DI-BM/CA/1;1;763.54;763.54
L3P3AC7X;1;225.62;225.62
U3P3ZC25;3;283.62;850.86
EVE-E46-INT;1;556.8;556.8
EVE-N55V2-CF-INT;9;788.4;7095.6
EVE-E60V2-CF-INT;4;870;3480
EVE-2TFSI-CF-INT;20;531;10620
EVE-F10M5-CF-INT;1;1266;1266
EVE-F8XMV2-CF-INT;7;1435.2;10046.4
EVE-FLC;28;16.8;470.4
EVE-151-G2-FTR;15;51;765
EVE-661-G2-FTR;17;51;867
AC-200-BT;49;11;539
RPF-1721;1;22.77;22.77
RPF-1566;1;20.1365;20.1365
RPF-1512;1;24.817;24.817
RPF-1869;2;44.3095;88.619
VWR13G500;5;244.881;1224.405
VWR19G703;16;52.7505;844.008
DP-BM/SS/3;1;1008.25;1008.25
238SMBO270-PK;3;40.9;122.7
238SMOTSWL270-C;2;28.4;56.8
216BFWGBOSM;1;17.95;17.95
CTS-DP-IK1;23;7.5;172.5
VWR180000;51;8.2915;422.8665
ATINTVAG28;2;577.139;1154.278
ATINTVAG18-C;2;696.3135;1392.627
ATINTVAG15;1;381.432;381.432
ATINTVAG12;4;458.482;1833.928
ATINTVAG11;3;345.9775;1037.9325
ATINTVAG6;1;423.8095;423.8095
ATINTVAG8;1;381.432;381.432
ATINTMINI01;1;268.916;268.916
ATINTMINI05;1;329.4865;329.4865
ATINTMAZ02;1;577.139;577.139
ATINTMAZ01;2;298.8735;597.747
ATINTFO25;6;174.6965;1048.179
ATINTFO26;2;402.891;805.782
ATINTFO12;1;278.875;278.875
ATINTFO44;2;381.432;762.864
ATINTFO22;5;304.3705;1521.8525
ATINTREN3;2;384.514;769.028
ATINTREN1;3;293.5145;880.5435
ATINTVAG7;2;458.482;916.964
